mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
2.81;291.49;12.79;1.27;307.25;2024-12-20;UREIA;159;50;A;AZ-05;NÃO;0.91;94.53;4.15;0.41;BAG MOVEL
2.39;279.60;15.00;1.25;297.87;2024-12-20;UREIA;160;49;A;AZ-05;NÃO;0.80;93.75;5.03;0.42;BAG MOVEL
16.60;272.90;4.46;1.29;295.32;2024-12-20;UREIA;161;49;A;AZ-05;NÃO;5.62;92.43;1.51;0.44;BAG MOVEL
3.25;282.36;10.65;1.14;298.01;2024-12-20;UREIA;162;49;A;AZ-05;NÃO;1.09;94.94;3.58;0.38;BAG MOVEL
12.03;304.54;6.52;2.65;334.57;2024-12-20;UREIA;163;49;B;AZ-05;NÃO;39.69;93.49;2.00;0.81;BAG MOVEL
11.36;303.52;13.58;2.32;335.23;2024-12-20;UREIA;164;48;B;AZ-05;NÃO;3.43;91.76;4.11;0.70;BAG MOVEL
12.10;305.67;16.55;1.32;334.44;2024-12-20;UREIA;165;49;B;AZ-05;NÃO;3.61;91.07;4.93;0.39;BAG MOVEL
11.09;306.65;15.52;1.42;335.14;2024-12-20;UREIA;166;48;B;AZ-05;NÃO;3.31;91.62;4.64;0.42;BAG MOVEL
12.08;306.66;15.56;1.01;335.16;2024-12-20;UREIA;167;49;B;AZ-05;NÃO;3.60;91.46;4.64;0.30;BAG MOVEL
1.79;293.06;2.93;1.08;299.41;2024-12-20;UREIA;466;45;A;BOX-02;NÃO;0.60;98.06;0.98;0.36;MAQUINARIO
3.51;299.03;8.25;1.03;306.29;2024-12-20;UREIA;467;45;A;BOX-02;NÃO;1.15;95.82;2.70;0.34;MAQUINARIO
21.24;271.78;7.72;1.48;302.44;2024-12-20;KCL;427;30;A;BOX-08;NÃO;7.03;89.93;2.55;0.44;MAQUINARIO
13.08;284.54;7.05;1.18;306.43;2024-12-20;UREIA;469;45;A;BOX-02;NÃO;4.28;93.03;2.31;0.39;MAQUINARIO
42.57;256.76;2.47;2.34;304.89;2024-12-20;KCL;428;30;A;BOX-08;NÃO;14.00;84.42;0.81;0.77;MAQUINARIO
12.59;281.65;6.45;0.88;302.96;2024-12-20;UREIA;470;45;A;BOX-02;NÃO;4.17;93.39;2.14;0.29;MAQUINARIO
1.23;290.44;14.60;0.95;307.46;2024-12-20;UREIA;471;46;A;BOX-02;NÃO;0.40;94.54;4.75;0.31;MAQUINARIO
2.79;291.18;15.88;1.54;312.55;2024-12-20;UREIA;472;46;A;BOX-02;NÃO;0.90;93.51;5.10;0.49;MAQUINARIO
33.32;265.60;3.68;1.03;304.88;2024-12-20;UREIA;429;45;A;BOX-09;NÃO;10.97;87.47;1.21;0.34;MAQUINARIO
27.46;269.92;3.67;1.06;303.232;2024-12-20;UREIA;430;48;A;BOX-09;NÃO;9.09;89.34;1.21;0.35;MAQUINARIO
10.82;298.52;24.94;1.48;334.88;2024-12-20;UREIA;474;47;B;BOX-02;NÃO;3.22;88.91;7.43;0.44;MAQUINARIO
11.79;297.50;23.90;1.46;334.85;2024-12-20;UREIA;475;45;B;BOX-02;NÃO;3.52;88.90;7.14;0.44;MAQUINARIO
10.79;298.50;22.94;1.42;335.25;2024-12-20;UREIA;476;37;B;BOX-02;NÃO;3.23;89.47;6.88;0.43;MAQUINARIO
11.82;297.51;20.95;1.49;335.38;2024-12-20;UREIA;477;36;B;BOX-02;NÃO;3.56;89.67;6.31;0.45;MAQUINARIO
23.10;296.38;8.98;3.54;335.02;2024-12-20;SAM 21;431;40;B;BOX-10;NÃO;6.96;89.27;2.70;1.07;MAQUINARIO
24.69;295.39;9.97;3.49;334.73;2024-12-20;SAM 21;432;40;B;BOX-10;NÃO;7.24;88.24;2.99;1.05;MAQUINARIO
23.12;297.36;8.00;2.78;334.94;2024-12-20;SAM 21;433;37;B;BOX-10;NÃO;6.98;89.77;2.42;0.84;MAQUINARIO
20.85;311.32;3.28;1.58;334.38;2024-12-20;SAM 21;434;31;B;BOX-10;NÃO;6.19;92.37;0.97;0.47;MAQUINARIO
22.10;312.31;5.04;1.76;335.03;2024-12-20;SAM 21;435;30;B;BOX-10;NÃO;6.48;91.53;1.48;0.52;MAQUINARIO
29.75;302.76;1.74;0.86;335.44;2024-12-20;SAM 21;473;50;B;BOX-10;NÃO;8.88;90.35;0.52;0.26;MAQUINARIO
16.36;315.52;2.38;1.66;334.67;2024-12-20;SAM 21;343;50;B;AZ-03-A;NÃO;4.87;93.93;0.71;0.49;MAQUINARIO
17.33;314.49;3.39;1.68;334.18;2024-12-20;SAM 21;344;50;B;AZ-03-A;NÃO;5.14;93.35;1.01;0.50;MAQUINARIO
29.17;299.37;5.58;1.42;335.27;2024-12-20;20-00-20;478;50;B;B0X-02/04/10;NÃO;8.69;89.22;1.66;0.42;MAQUINARIO
28.18;298.18;6.59;1.44;335.52;2024-12-20;20-00-20;479;37;B;B0X-02/04/10;NÃO;8.42;89.18;1.97;0.43;MAQUINARIO
19.53;295.12;2.83;4.5;314.63;2024-09-25;SAM 20.5;57;50;A;10;NÃO;6.07;91.66;0.88;1.40;MAQUINARIO
2.13;291.77;12.49;3.36;310.07;2024-12-21;UREIA;481;46;A;BOX-02;NÃO;0.69;94.20;4.03;1.08;MAQUINARIO
4.38;286.24;13.94;3.52;305.28;2024-12-21;UREIA;169;49;A;BOX-02;NÃO;1.42;92.91;4.52;1.14;MAQUINARIO
2.24;274.78;19.84;6.03;303.22;2024-12-21;UREIA;170;49;A;BOX-02;NÃO;0.74;90.72;6.55;1.99;MAQUINARIO
3.51;289.99;7.45;1.15;301.19;2024-12-21;UREIA;171;49;A;BOX-02;NÃO;1.16;95.99;2.47;0.38;MAQUINARIO
24.14;287.22;1.78;1.07;312.40;2024-12-21;SAM 21;345;50;A;BOX-10;NÃO;7.68;91.41;0.57;0.34;MAQUINARIO
2.67;308.08;10.37;0.84;320.57;2024-12-28;UREIA;137;50;B;BOX-09;NÃO;0.83;95.69;3.22;0.26;MAQUINARIO
4.34;309.58;7.68;0.21;321.28;2024-12-28;UREIA;138;39;B;BOX-09;NÃO;1.35;96.20;2.39;0.07;MAQUINARIO
6.00;290.32;4.18;0.84;335.08;2024-12-28;UREIA;139;50;B;BOX-09;NÃO;4.99;96.34;1.39;0.28;MAQUINARIO
7.34;308.59;8.67;1.21;334.58;2024-12-28;UREIA;140;50;B;BOX-09;NÃO;2.25;94.71;2.66;0.37;MAQUINARIO
7.30;309.58;7.66;1.25;335.63;2024-12-28;UREIA;141;50;B;BOX-09;NÃO;2.24;95.02;2.35;0.38;MAQUINARIO
8.31;308.57;7.35;1.32;334.98;2024-12-28;UREIA;142;48;B;BOX-09;NÃO;2.55;94.78;2.26;0.41;MAQUINARIO
8.70;318.76;7.64;0.99;335.37;2024-12-28;UREIA;194;50;B;BOX-02;NÃO;2.59;94.84;2.27;0.29;MAQUINARIO
7.71;317.77;8.06;1.00;335.12;2024-12-28;UREIA;195;48;B;BOX-02;NÃO;2.30;94.82;2.58;0.30;MAQUINARIO
7.30;317.91;8.93;0.90;335.17;2024-12-28;UREIA;196;50;B;BOX-02;NÃO;2.30;94.77;2.66;0.27;MAQUINARIO
8.71;316.92;7.87;0.92;334.96;2024-12-28;UREIA;197;49;B;BOX-02;NÃO;2.60;94.77;2.35;0.28;MAQUINARIO
7.34;315.80;8.83;0.91;335.29;2024-12-28;UREIA;198;49;B;BOX-02;NÃO;2.20;94.87;2.65;0.27;MAQUINARIO
5.66;307.08;393.02;335.06;335.47;2024-12-28;UREIA;199;49;B;BOX-02;NÃO;1.75;94.78;3.21;0.27;MAQUINARIO
7.76;280.60;8.29;1.69;297.92;2024-12-28;KCL;129;37;A;BOX-05;NÃO;2.60;94.05;2.78;0.57;MAQUINARIO
12.53;287.39;6.17;1.19;305.73;2024-12-28;UREIA;127;50;A;BOX-09;NÃO;4.08;93.53;2.01;0.39;MAQUINARIO
8.21;277.69;10.59;1.17;297.70;2024-12-28;UREIA;128;50;A;BOX-09;NÃO;2.76;93.29;3.56;0.39;MAQUINARIO
35.02;291.32;3.17;0.90;334.68;2024-12-28;UREIA;191;50;B;BOX-02;NÃO;10.60;88.17;0.96;0.27;MAQUINARIO
9.17;292.61;7.90;6.97;312.88;2024-12-28;20-00-20;130;46;A;03/05/09;NÃO;2.90;92.50;2.50;2.11;MAQUINARIO
13.51;281.37;2.54;0.88;299.19;2024-12-28;20-00-20;131;50;A;03/05/09;NÃO;4.53;94.32;0.85;0.30;MAQUINARIO
12.45;281.86;5.81;0.86;301.63;2024-12-28;20-00-20;132;36;A;03/05/09;NÃO;4.14;93.65;1.93;0.29;MAQUINARIO
28.22;277.67;6.29;2.34;315.47;2024-12-28;20-00-20;133;36;A;03/05/09;NÃO;8.97;88.28;2.00;0.74;MAQUINARIO
17.00;296.17;2.44;1.64;317.51;2024-12-28;20-00-20;134;30;A;03/05/09;NÃO;5.36;93.36;0.77;0.52;MAQUINARIO
15.61;275.47;2.91;1.12;296.31;2024-12-28;20-00-20;135;48;A;03/05/09;NÃO;5.29;93.34;0.99;0.38;MAQUINARIO
26.01;293.34;4.19;0.89;334.34;2024-12-28;20-00-20;136;36;B;03/05/09;NÃO;8.02;90.42;1.29;0.27;MAQUINARIO
1.71;298.71;7.60;1.20;308.65;2024-12-28;UREIA;189;48;A;BOZ-02;NÃO;0.55;96.60;2.46;0.39;BAG MOVEL
4.73;281.80;6.32;1.26;294.35;2024-12-28;UREIA;190;48;A;AZ-02;NÃO;1.61;95.81;2.15;0.43;BAG MOVEL
3.50;299.91;3.87;1.30;308.76;2024-12-18;UREIA;141;49;A;AZ-05;NÃO;1.13;97.19;1.25;0.42;BAG MOVEL
3.50;299.91;3.87;1.30;308.76;2024-12-18;UREIA;141;49;A;AZ-05;NÃO;1.13;97.19;1.25;0.42;BAG MOVEL
1.50;281.83;12.75;1.66;299.75;2024-12-18;UREIA;142;49;A;AZ-05;NÃO;0.50;94.66;4.28;0.56;BAG MOVEL
1.76;285.91;11.45;1.09;302.00;2024-12-18;UREIA;143;49;A;AZ-05;NÃO;0.59;95.24;3.81;0.36;BAG MOVEL
29.19;272.13;1.20;1.02;305.15;2024-12-18;UREIA;144;50;A;AZ-05;NÃO;9.62;89.65;0.40;0.34;BAG MOVEL
11.17;314.14;7.36;1.68;334.11;2024-12-18;UREIA;145;50;B;AZ-05;NÃO;3.34;93.96;2.20;0.50;BAG MOVEL
11.11;311.16;3.33;1.71;334.72;2024-12-18;UREIA;146;50;B;AZ-05;NÃO;3.39;95.07;1.02;0.52;BAG MOVEL
11.76;302.19;6.06;1.69;335.05;2024-12-18;UREIA;147;50;B;AZ-05;NÃO;3.60;94.03;1.85;0.52;BAG MOVEL
23.41;280.18;0.81;1.30;306.29;2024-12-18;UREIA;406;26;A;BOX-09;NÃO;7.66;91.65;0.26;0.43;MAQUINARIO
10.88;311.70;9.98;0.93;335.42;2024-12-18;UREIA;408;4;B;BOX-09;NÃO;3.26;93.47;2.99;0.28;MAQUINARIO
38.32;255.40;4.65;4.84;304.51;2024-12-18;33-00;405;50;A;BOX-09/10;NÃO;12.64;84.22;1.53;1.61;MAQUINARIO
24.67;301.74;5.18;2.16;335.25;2024-12-18;30.00.20;409;48;B;B8/B9B10;NÃO;7.39;90.41;1.55;0.65;MAQUINARIO
26.66;298.81;1.28;2.22;335.72;2024-12-18;30.00.20;410;37;B;B8/B9B10;NÃO;8.10;90.83;0.39;0.67;MAQUINARIO
27.65;296.80;1.26;2.25;335.65;2024-12-18;30.00.20;411;48;B;B8/B9B10;NÃO;8.43;90.50;0.38;0.69;MAQUINARIO
11.48;282.19;7.69;4.22;307.42;2024-12-18;20-00-20;456;50;A;02/04/10;NAO;3.76;92.35;2.52;1.38;MAQUINARIO
7.35;256.82;20.55;17.06;303.31;2024-12-18;20-00-20;407;48;A;08/09/10;SIM;2.44;95.10;6.81;4.25;MAQUINARIO
17.81;287.37;7.75;1.94;316.53;2024-12-18;20-00-20;73;50;A;03/05/09;NÃO;5.66;91.27;2.46;0.62;MAQUINARIO
17.81;287.37;7.75;1.94;316.53;2024-12-18;20-00-20;73;50;A;03/05/09;NÃO;5.66;91.27;2.46;0.62;MAQUINARIO
23.10;269.79;4.44;1.78;301.33;2024-12-18;20-00-20;74;50;A;03/05/09;NÃO;7.72;90.20;1.48;0.60;MAQUINARIO
29.07;306.79;8.98;2.68;335.63;2024-12-18;20-00-20;77;49;B;03/05/09;NÃO;8.36;88.28;2.58;0.77;MAQUINARIO
22.39;260.43;6.55;1.76;293.42;2024-12-18;20-00-20;75;37;A;03/05/09;NÃO;7.69;89.45;2.25;0.60;MAQUINARIO
23.62;299.78;6.73;3.06;335.64;2024-12-18;20-00-20;408;44;B;B8/B9B10;NÃO;7.09;89.97;2.02;0.92;MAQUINARIO
17.43;295.66;13.24;3.57;335.77;2024-12-18;20-00-20;78;40;B;03/05/09;NÃO;5.28;89.62;4.01;1.08;MAQUINARIO
18.46;296.69;14.23;2.79;335.81;2024-12-18;20-00-20;79;47;B;03/05/09;NÃO;5.56;89.32;4.28;0.84;MAQUINARIO
25.76;295.38;10.00;35.86;335.20;2024-12-18;20-00-20;80;50;B;03/05/09;NÃO;7.02;80.49;2.72;2.55;MAQUINARIO
24.25;295.39;9.05;2.89;335.22;2024-12-18;20-00-20;81;50;B;03/05/09;NÃO;7.45;88.73;2.73;0.87;MAQUINARIO
53.59;279.82;0.45;1.10;334.64;2024-12-18;SAM 21;412;45;B;AZ-06-A;NÃO;16.00;83.54;0.13;0.33;BAG MOVEL
52.60;278.85;1.47;1.12;335.02;2024-12-18;SAM 21;413;37;B;AZ-06-A;NÃO;15.75;83.48;0.44;0.34;BAG MOVEL
1.65;279.11;20.37;3.87;306.54;2024-12-19;UREIA;153;50;A;AZ-05;NÃO;0.54;91.51;6.68;1.27;BAG MOVEL
12.22;299.64;16.39;3.10;334.84;2024-12-19;UREIA;154;49;B;AZ-05;NÃO;3.69;90.43;4.95;0.94;BAG MOVEL
11.72;296.68;15.41;2.78;334.44;2024-12-19;UREIA;155;48;B;AZ-05;NÃO;3.59;90.84;4.72;0.85;BAG MOVEL
11.20;297.70;13.42;3.06;334.87;2024-12-19;UREIA;156;50;B;AZ-05;NÃO;3.44;90.49;4.12;0.94;BAG MOVEL
12.18;296.70;11.33;1.19;335.13;2024-12-19;UREIA;157;49;B;AZ-05;NÃO;3.79;92.31;3.53;0.37;BAG MOVEL
19.04;277.43;1.08;1.44;304.86;2024-12-19;SAM 21;459;48;A;BOX-10;NÃO;6.37;92.79;0.36;0.48;MAQUINARIO
18.16;289.32;1.49;1.46;310.37;2024-12-19;SAM 21;460;48;A;BOX-10;NÃO;5.85;43.20;0.48;0.47;MAQUINARIO
14.05;268.41;9.25;11.28;302.60;2024-12-19;SAM 21;414;37;A;BOX-10;NÃO;4.64;88.59;3.05;3.72;MAQUINARIO
9.89;334.23;28.87;6.16;454.71;2024-11-27;KCL 60;103;48;A;BOX-08;SIM;2.61;88.15;7.61;1.62;MAQUINARIO
28.96;326.27;0.76;0.94;357.59;2024-10-04;SAM 21;8;48;A;02;NÃO;8.11;91.41;0.21;0.26;MAQUINARIO
6.55;286.84;10.51;1.05;299.22;2024-12-23;UREIA;172;49;A;AZ-05;NÃO;2.15;94.06;3.45;0.34;BAG MOVEL
5.17;294.86;11.63;1.05;309.00;2024-12-23;UREIA;173;49;A;AZ-05;NÃO;1.65;94.29;3.72;0.34;BAG MOVEL
3.02;290.54;13.82;2.17;309.63;2024-12-23;UREIA;174;49;A;AZ-05;NÃO;0.98;93.86;4.46;0.70;BAG MOVEL
2.46;291.46;11.37;1.00;306.17;2024-12-23;UREIA;175;49;A;AZ-05;NÃO;0.80;95.16;3.71;0.33;BAG MOVEL
2.50;287.83;9.58;1.54;300.37;2024-12-23;UREIA;176;49;A;AZ-05;NÃO;0.83;95.48;3.18;0.51;BAG MOVEL
11.57;302.19;18.34;2.57;334.39;2024-12-23;UREIA;177;49;B;AZ-05;NÃO;3.46;90.29;5.48;0.77;BAG MOVEL
11.36;300.22;17.26;2.48;334.35;2024-12-23;UREIA;178;49;B;AZ-05;NÃO;3.43;90.61;5.21;0.75;BAG MOVEL
10.75;313.29;10.23;1.18;334.76;2024-12-23;UREIA;132;48;B;AZ-05;NÃO;3.20;93.39;3.05;3.05;BAG MOVEL
19.97;282.28;1.63;1.20;304.36;2024-12-23;SAM 21;348;50;A;AZ-03-A;NÃO;6.55;92.53;0.53;0.39;MAQUINARIO
17.40;281.22;2.48;2.76;302.91;2024-12-23;SAM 21;349;37;A;AZ-03-A;NÃO;5.73;92.55;0.82;0.91;MAQUINARIO
48.22;278.59;5.83;2.88;334.83;2024-12-23;20-00-20;86;50;B;BOX-B03/B05/B09;NÃO;14.37;83.03;1.74;0.86;MAQUINARIO
14.81;306.63;7.95;2.78;335.13;2024-12-23;20-00-20;486;50;B;BOX-B02/B04/B10;SIM;4.29;92.48;2.40;0.84;MAQUINARIO
13.23;306.65;8.93;3.06;335.35;2024-12-23;20-00-20;487;50;B;BOX-B02/B04/B10;SIM;3.99;92.40;2.69;0.92;MAQUINARIO
13.94;317.67;5.05;1.24;335.40;2024-12-23;20-00-20;488;36;B;BOX-B02/B04/B10;SIM;4.13;94.01;1.49;0.37;MAQUINARIO
12.98;315.72;5.99;1.31;335.24;2024-12-23;20-00-20;489;36;B;BOX-B02/B04/B10;SIM;3.86;93.96;1.78;0.39;MAQUINARIO
18.64;311.68;4.35;1.16;334.91;2024-12-26;30.00.20;106;36;B;05/09;NÃO;5.55;92.81;1.30;0.35;MAQUINARIO
17.70;310.70;3.32;1.18;335.30;2024-12-26;30.00.20;107;48;B;05/09;NÃO;5.32;93.93;1.00;0.35;MAQUINARIO
32.92;299.34;3.45;1.50;335.41;2024-12-26;20-00-20;103;36;B;03/05/09;NÃO;9.76;88.77;1.02;0.44;MAQUINARIO
23.24;297.50;10.89;3.12;334.95;2024-12-26;20-00-20;104;49;B;03/05/09;NÃO;6.94;88.87;3.25;0.93;MAQUINARIO
17.61;311.80;5.23;0.88;335.18;2024-12-26;20-00-20;491;47;B;02/04/10;SIM;5.25;92.93;1.56;0.20;MAQUINARIO
18.60;310.81;4.20;0.90;335.25;2024-12-26;20-00-20;492;36;B;02/04/10;SIM;5.56;92.92;1.26;0.27;MAQUINARIO
23.74;328.48;1.43;1.6;342.21;2024-10-18;SAM 21;134;50;A;10;NÃO;6.68;95.46;0.40;0.45;MAQUINARIO
12.85;360.9;4.98;6.37;376.12;2024-01-27;20-00-20;330;50;A;02/05/10;SIM;3.39;95.20;1.31;0.10;MAQUINARIO
19.95;303.39;9.83;1.16;334.57;2024-12-27;30.00.20;118;36;B;BOX-05/09;NÃO;5.97;90.75;2.94;0.35;MAQUINARIO
20.91;300.41;7.82;1.26;335.06;2024-12-27;30.00.20;119;34;B;BOX-05/09;NÃO;6.33;90.92;2.37;0.38;MAQUINARIO
4.47;292.19;6.57;0.29;304.14;2024-12-27;UREIA;185;48;A;BOX-02;NÃO;1.47;96.27;2.16;0.10;MAQUINARIO
13.56;284.86;3.22;1.16;301.90;2024-12-27;UREIA;186;41;A;BOX-02;NÃO;4.48;94.08;1.06;0.38;MAQUINARIO
2.02;296.16;5.28;1.28;303.47;2024-12-27;UREIA;187;49;A;BOX-02;NÃO;0.66;97.18;1.73;0.42;MAQUINARIO
6.37;287.37;4.66;1.07;299.28;2024-12-27;UREIA;188;49;A;BOX-02;NÃO;2.13;95.96;1.56;0.36;MAQUINARIO
18.37;277.10;4.21;1.47;300.80;2024-12-27;UREIA;115;30;A;BOX-09;NÃO;6.10;92.01;1.40;0.49;MAQUINARIO
16.29;313.17;3.45;1.67;335.38;2024-12-27;SAM 21;10;50;B;BOX-03;NÃO;4.87;93.60;1.03;0.50;MAQUINARIO
16.24;312.19;2.47;1.69;335.13;2024-12-27;SAM 21;11;50;B;BOX-03;NÃO;4.88;93.87;0.24;0.51;MAQUINARIO
27.36;307.85;3.85;0.96;335.20;2024-12-27;SAM 21;494;49;B;BOX-10;NÃO;8.05;90.54;1.13;0.28;MAQUINARIO
32.66;299.61;1.75;1.03;335.07;2024-12-27;20-00-20;120;48;B;BOX-03/05/09;NÃO;9.75;89.42;0.52;0.31;MAQUINARIO
31.76;298.64;3.70;1.11;334.98;2024-12-27;20-00-20;121;47;B;BOX-03/05/09;NÃO;9.47;89.09;1.10;0.33;MAQUINARIO
28.46;299.67;5.54;1.56;335.09;2024-12-27;20-00-20;122;47;B;BOX-03/05/09;NÃO;8.49;89.39;1.65;0.47;MAQUINARIO
15.29;304.74;8.03;1.09;335.26;2025-01-21;20-00-20;301;49;B;BOX-03/05/10;NAO;4.65;92.58;2.44;0.33;MAQUINARIO
2.66;295.13;0.96;1.20;307.83;2025-01-04;30.00.20;716;37;B;BOX-06/03;SIM;0.89;98.39;0.32;0.40;MAQUINARIO
14.83;268.08;10.36;10.23;302.81;2024-12-17;SAM 21;396;40;A;BOX-10;NAO;4.88;88.30;3.41;3.40;MAQUINARIO
2.13;284.54;14.04;1.01;300.46;2024-12-20;UREIA;468;45;A;BOX-02;NÃO;0.71;94.31;4.65;0.33;MAQUINARIO
3.66;302.04;14.66;0.92;321.26;2025-01-02;UREIA;207;49;A;BOX-02;NÃO;1.14;94.01;4.56;0.29;MAQUINARIO
2.54;285.49;6.35;5.43;311.71;2025-01-29;SAM 21;600;50;A;AZ-03-A;SIM;0.85;95.22;2.12;1.81;BAG MOVEL
17.14;303.32;2.25;1.66;334.80;2025-01-29;SAM 21;607;50;B;AZ-03-A;NAO;5.28;93.51;0.69;0.51;BAG MOVEL
16.16;304.30;2.20;1.74;335.02;2025-01-29;SAM 21;608;50;B;AZ-03-A;NAO;4.98;93.80;0.68;0.54;BAG MOVEL
17.15;304.31;3.26;1.68;334.64;2025-01-29;SAM 21;612;50;B;AZ-03-A;NAO;5.25;93.23;1.00;0.51;BAG MOVEL
13.29;308.51;3.51;1.48;334.27;2025-01-29;SAM 21;614;50;B;AZ-03-A;NAO;4.07;94.41;1.07;0.45;BAG MOVEL
16.77;301.47;8.48;0.92;334.15;2025-01-29;SAM 21;536;17;B;AZ-03-A;NAO;5.12;92.00;2.59;0.30;BAG MOVEL
42.72;279.80;1.65;1.25;335.55;2025-01-31;SAM 21;654;50;B;AZ-04-A;NAO;13.26;86.86;0.51;0.39;BAG MOVEL
47.07;381.17;5.93;1.15;334.41;2025-01-31;SAM 21;657;51;B;AZ-04-A;NAO;14.04;83.85;1.77;0.34;BAG MOVEL
46.08;270.18;6.89;1.17;334.94;2025-01-31;SAM 21;658;36;B;AZ-04-A;NAO;14.21;83.31;2.12;0.36;BAG MOVEL
12.07;266.82;3.70;5.05;301.61;2025-02-01;SAM 21;668;38;A;BOX-10;NAO;4.20;92.76;1.29;1.76;BAG MOVEL
34.72;87.65;1.29;0.34;334.14;2025-02-01;SAM 21;669;38;B;AZ-3;NAO;10.72;87.65;1.29;0.34;BAG MOVEL
34.00;276.25;5.07;2.30;334.99;2025-02-01;SAM 21;672;46;B;AZ-3;NAO;10.70;86.98;1.60;0.72;BAG MOVEL
32.05;275.32;5.97;2.28;334.80;2025-02-01;SAM 21;673;50;B;AZ-3;NAO;10.15;87.23;1.89;0.72;BAG MOVEL
34.01;277.24;5.08;1.07;335.23;2025-02-01;SAM 21;674;46;B;AZ-3;NAO;10.72;87.35;1.60;0.34;BAG MOVEL
31.89;287.15;0.76;1.57;335.12;2025-02-03;SAM 21;690;37;B;AZ-3;NAO;9.92;89.35;0.24;0.49;BAG MOVEL
44.67;268.95;4.44;1.24;335.15;2025-02-03;SAM 21;696;48;B;BOX-10;NAO;13.99;84.23;1.39;0.39;BAG MOVEL
21.55;293.18;3.94;1.40;334.23;2025-02-04;SAM 21;715;35;B;AZ-3;NAO;6.73;91.60;1.23;0.44;BAG MOVEL
10.99;276.66;1.10;1.78;300.29;2025-02-05;SAM 21;720;48;A;AZ-07-A;NAO;3.78;95.23;0.38;0.61;BAG MOVEL
9.64;279.76;0.98;1.30;303.47;2025-02-05;SAM 21;724;36;A;AZ-07-A;SIM;3.30;95.91;0.34;0.45;BAG MOVEL
12.09;281.85;0.84;1.73;307.18;2025-02-05;SAM 21;727;50;A;AZ-07-A;NAO;4.08;95.06;0.28;0.58;BAG MOVEL
34.97;278.92;4.50;1.04;334.73;2025-02-05;SAM 21;731;48;B;AZ-07-A;NAO;10.95;87.32;1.41;0.33;BAG MOVEL
35.91;280.91;3.56;1.10;334.66;2025-02-05;SAM 21;732;37;B;AZ-07-A;NAO;11.17;87.38;1.11;0.34;BAG MOVEL
34.01;280.90;4.50;1.12;335.63;2025-02-05;SAM 21;735;35;B;AZ-03-A;NAO;10.01;87.64;1.40;0.35;BAG MOVEL
5.65;287.08;1.38;1.00;307.76;2025-02-06;SAM 21;761;44;A;AZ-03-B;NAO;1.91;97.28;0.47;0.34;BAG MOVEL
1.78;317.16;23.3;0.27;338.55;2024-12-07;UREIA;193;27;B;BOX-09;NÃO;0.52;92.50;6.80;0.08;MAQUINARIO
13.91;311.94;9.61;1.01;334.96;2024-12-06;UREIA;69;49;B;AZ-5;NÃO;4.13;92.71;2.86;0.30;BAG MOVEL
36.21;300.03;0.79;1.27;308.02;2024-09-16;SAM 20.5;1;50;A;08;NÃO;10.70;88.69;0.23;0.38;MAQUINARIO
25.43;259.92;0.55;1.28;312.47;2024-09-16;SAM 20.5;2;50;A;08;NÃO;8.86;90.51;0.29;0.45;MAQUINARIO
20.84;242.58;0.57;1.3;301.37;2024-09-16;SAM 20.5;3;50;A;08;NÃO;7.86;91.44;0.21;0.49;MAQUINARIO
20.8;245.57;0.5;1.38;300.5;2024-09-16;SAM 20.5;4;50;A;08;NÃO;7.55;89.57;0.27;0.52;MAQUINARIO
27.4;299.79;0.89;1.65;300.4;2024-09-17;SAM 20.5;5;50;A;08;NÃO;8.31;90.92;0.27;0.50;MAQUINARIO
25.8;284.82;0.84;1.43;304.31;2024-09-17;SAM 20.5;6;50;A;08;NÃO;8.25;91.03;0.27;0.46;MAQUINARIO
22.97;273.99;0.51;1.09;303.47;2024-09-17;SAM 20.5;7;50;A;08;NÃO;7.69;91.77;0.17;0.37;MAQUINARIO
23.37;289.51;0.62;1.15;311.84;2024-09-17;SAM 20.5;8;50;A;08;NÃO;7.43;92.01;0.20;0.37;MAQUINARIO
20.61;254.31;1.26;1.63;303.07;2024-09-17;SAM 20.5;9;50;A;08;NÃO;7.42;91.54;0.45;0.54;MAQUINARIO
39.63;299.32;1.5;1.35;306.38;2024-09-17;SAM 20.5;10;50;A;08;NÃO;11.59;87.57;0.44;0.39;MAQUINARIO
37.95;262.36;1.63;2.47;302.54;2024-09-17;SAM 20.5;11;50;A;08;NÃO;12.47;86.19;0.54;0.81;MAQUINARIO
17.43;288.8;1.33;1.29;315.68;2024-09-17;SAM 20.5;12;50;A;08;NÃO;5.64;93.51;0.43;0.42;MAQUINARIO
17.4;287.42;1.28;1.31;305.4;2024-09-17;SAM 20.5;13;50;A;08;NÃO;5.77;95.25;0.52;0.51;MAQUINARIO
25.56;311.95;6.32;1.46;334.73;2024-11-07;33-00;99;47;B;02/09;SIM;7.48;90.27;1.83;0.42;MAQUINARIO
33.35;298.28;2.69;3.6;302.89;2024-09-17;SAM 20.5;14;50;A;08;NÃO;9.87;88.27;0.80;1.07;MAQUINARIO
17.91;355.25;6.2;7.95;388.26;2024-09-17;SAM 20.5;15;50;A;08;NÃO;4.62;91.72;1.60;2.05;MAQUINARIO
33.35;298.28;2.69;3.6;301.21;2024-09-17;SAM 20.5;16;50;A;08/10;NÃO;9.87;88.27;0.80;1.07;MAQUINARIO
