mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
12.86;316.80;4.34;1.39;335.12;2025-01-28;20-00-20;584;50;B;BOX-03/08/10;NAO;3.83;94.46;1.29;0.41;MAQUINARIO
12.61;316.71;3.46;0.97;335.70;2025-01-28;20-00-20;585;46;B;BOX-03/08/10;NAO;3.78;94.89;1.04;0.29;MAQUINARIO
17.03;301.61;5.53;0.91;335.29;2025-01-28;20-00-20;586;50;B;BOX-03/08/10;NAO;5.24;92.78;1.70;0.28;MAQUINARIO
4.59;286.47;8.53;1.55;309.68;2025-01-30;20-00-20;619;46;A;BOX-01/06/10;NAO;1.52;95.13;2.83;0.51;MAQUINARIO
6.85;290.33;4.60;1.72;313.31;2025-01-30;20-00-20;330;38;A;BOX-03/05/10;NAO;2.26;95.66;1.52;0.57;MAQUINARIO
8.98;273.59;5.64;2.84;302.19;2025-01-30;20-00-20;621;37;A;BOX-01/06/10;NAO;3.09;94.00;1.94;0.98;MAQUINARIO
9.42;279.60;2.65;1.74;303.56;2025-01-30;20-00-20;622;37;A;BOX-01/06/10;NAO;3.21;95.29;0.90;0.59;MAQUINARIO
6.44;282.86;2.60;1.51;304.02;2025-01-30;20-00-20;623;37;A;BOX-01/06/10;NAO;2.19;96.40;0.89;0.51;MAQUINARIO
3.33;284.26;6.49;2.69;308.27;2025-01-30;20-00-20;624;37;A;BOX-01/06/10;NAO;1.12;95.78;2.19;0.91;MAQUINARIO
2.95;283.84;5.75;3.56;308.01;2025-01-30;20-00-20;625;37;A;BOX-01/06/10;NAO;1.00;95.86;1.94;1.20;MAQUINARIO
5.66;285.61;2.92;1.62;306.38;2025-01-30;20-00-20;626;50;A;BOX-01/06/10;NAO;1.91;96.55;0.99;0.55;MAQUINARIO
2.21;283.15;0.54;1.26;301.77;2025-01-30;20-00-20;627;37;A;BOX-01/06/10;NAO;0.77;98.50;0.19;0.44;MAQUINARIO
5.19;281.50;3.43;1.31;303.01;2025-01-30;20-00-20;628;50;A;BOX-01/06/10;NAO;1.78;96.59;1.18;0.45;MAQUINARIO
5.15;278.57;7.48;0.96;303.47;2025-01-30;20-00-20;629;45;A;BOX-01/06/10;NAO;1.76;95.35;2.56;0.33;MAQUINARIO
12.42;293.17;12.91;3.65;334.44;2025-01-30;20-00-20;630;37;B;BOX-01/06/10;NAO;3.86;91.00;4.01;1.13;MAQUINARIO
13.35;294.14;10.93;2.70;335.25;2025-01-30;20-00-20;631;37;B;BOX-01/06/10;NAO;4.16;91.60;3.40;0.84;MAQUINARIO
15.16;300.11;6.77;2.38;335.55;2025-01-30;20-00-20;632;37;B;BOX-01/06/10;NAO;4.67;92.51;2.09;0.73;MAQUINARIO
14.15;299.12;7.74;2.42;335.37;2025-01-30;20-00-20;633;37;B;BOX-01/06/10;NAO;4.37;92.48;2.39;0.75;MAQUINARIO
9.58;305.04;8.21;1.48;335.50;2025-01-30;20-00-20;636;37;B;BOX-01/06/10;NAO;2.95;94.06;2.53;0.46;MAQUINARIO
24.46;297.65;2.99;1.18;335.48;2025-01-30;20-00-20;331;50;B;BOX-03/05/10;NAO;7.50;91.23;0.92;0.36;MAQUINARIO
12.62;270.65;3.46;1.07;301.97;2025-02-01;20-00-20;332;50;A;BOX-03/05/10;NAO;4.38;94.04;1.20;0.37;MAQUINARIO
18.36;302.49;3.64;1.51;335.30;2025-02-05;20-00-20;736;49;B;BOX-01/04/08;NAO;5.63;92.79;1.12;0.46;MAQUINARIO
19.34;301.47;3.67;1.52;334.95;2025-02-05;20-00-20;737;49;B;BOX-01/04/08;NAO;5.23;92.48;1.13;0.47;MAQUINARIO
15.55;274.73;8.18;1.5;369.93;2024-11-11;MAP-12-52;230;49;B;AZ-7;NÃO;5.18;91.59;2.73;0.50;BAG MOVEL
